protocol,speed_mps,pdr_percent,avg_delay_ms,throughput_kbps,packet_loss_percent,network_lifetime_sec,energy_consumed_joules,detection_rate_percent,avg_trust,avg_predicted_trust,network_lifetime_rounds,packets_sent,packets_delivered,packet_loss_count,packets_lost,avg_hop_count,first_node_death_round,malicious_nodes,isolated_nodes,avg_energy_normalized,link_success_probability,total_pt_crev_broadcasts,gossip_messages,pt_gid_broadcasts,drops_buffer_overflow,drops_ttl_expired,drops_no_route,fallback_local_repair,fallback_route_discovery
DRL-EAURP,30,97.225,80.415,1592.934,2.775,20.0,531.25,20.0,0.9566,0.0,200,4000,3889,0.0,111,6.451,2353.0,5.0,1.0,0.8937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRL-EAURP,40,92.55,80.398,1516.339,7.45,20.0,625.0,0.0,0.9527,0.0,200,4000,3702,0.0,298,6.466,2000.0,5.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAURP,10,45.75,380.437,749.568,54.25,5.2,4439.7,0.0,0.0,0.0,52,4000,1830,2170.0,2170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAURP,20,54.875,346.515,899.072,45.125,6.8,4814.65,0.0,0.0,0.0,68,4000,2195,1805.0,1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAURP,30,54.3,358.333,889.651,45.7,7.4,4905.0,0.0,0.0,0.0,74,4000,2172,1828.0,1828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAURP,40,58.975,328.359,966.246,41.025,9.7,4914.65,0.0,0.0,0.0,97,4000,2359,1641.0,1641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MADRL-EAURP,10,96.275,419.995,1577.37,2.55,17.9,4120.7,0.0,0.9909,0.0,179,4000,3851,102.0,102,4.2,179.0,0.0,0.0,0.1759,0.0,0.0,231421.0,77632.0,0.0,96.0,6.0,16976.0,1542.0
MADRL-EAURP,20,98.625,428.086,1615.872,0.75,24.9,3984.2,0.0,0.935,0.0,249,4000,3945,30.0,30,4.281,249.0,0.0,0.0,0.2032,0.0,0.0,242068.0,81054.0,0.0,26.0,4.0,14960.0,823.0
MADRL-EAURP,30,76.454,827.922,883.098,20.319,15.4,4999.55,0.0,0.0,0.0,154,2820,2156,573.0,573,8.279,154.0,0.0,0.0,0.0001,0.0,0.0,143096.0,48022.0,8.0,217.0,348.0,9561.0,1779.0
MADRL-EAURP,40,76.743,828.247,955.597,18.618,16.6,4998.9,0.0,0.0,0.0,166,3040,2333,566.0,566,8.282,166.0,0.0,0.0,0.0002,0.0,0.0,152182.0,51038.0,11.0,179.0,376.0,8887.0,1700.0
PSE-EAURP,10,87.85,74.759,1439.334,12.15,20.0,1151.92,100.0,0.81,0.81,200,4000,3514,0.0,486,4.986,868.0,5.0,5.0,0.7696,0.8739,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSE-EAURP,20,84.0,76.385,1376.256,16.0,20.0,1156.05,100.0,0.8478,0.8479,200,4000,3360,0.0,640,4.638,865.0,5.0,5.0,0.7688,0.8621,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSE-EAURP,30,80.725,78.352,1322.598,19.275,20.0,1267.94,100.0,0.8454,0.8454,200,4000,3229,0.0,771,4.645,789.0,5.0,5.0,0.7464,0.8329,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSE-EAURP,40,80.25,80.256,1314.816,19.75,20.0,1324.65,100.0,0.8661,0.8662,200,4000,3210,0.0,790,4.635,755.0,5.0,5.0,0.7351,0.8134,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
